# LingoBridge 功能矩阵
id,module,feature,priority,v_status,notes
F01,course,ppt_embed_video,high,confirmed,老师端
F02,course,record_video,high,confirmed,自动沉淀
F03,learning,practice_pronunciation,high,confirmed,学生端
F04,learning,rhyme_consonant_train,high,confirmed,学生端
F05,learning,preview_system,high,confirmed,跟随教纲
F06,learning,daily_homework,high,confirmed,v1.0包含
F07,translation,realtime_subtitle,high,confirmed,类似B站
F08,translation,speech_translate,medium,pending,AI能力
F09,assessment,digital_test,high,confirmed,替代打印
F10,incentive,ranking,high,confirmed,维持日活
F11,account,student_classify,high,confirmed,校-年级-班
F12,account,school_auth,medium,pending,对接高校
F13,account,teacher_unbind,medium,pending,类似企业微信
F14,account,multi_school,medium,pending,B端工具属性
F15,community,community_service,low,future,未来功能
F16,monetize,international_payment,low,future,未来功能
